OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
16010144,1/25/16,15:00:00,,,9999,Non-Crime (not reported to state),Inactive,,ONCAM,Z3,Student Center,351,,Ferst Drive  NW,33.77895641,-84.40131466,1
16010188,1/30/16,23:58:00,,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,Fourteenth Street  NW / Northside Drive  NW,,,,,,1
16020204,2/3/16,11:35:00,2/3/16,12:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Crecine Residence Hall   131   Z4,900,,Hemphill Avenue NW,33.7800571,-84.40351893,1
16020236,2/6/16,16:10:00,2/6/16,16:24:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,Cloudman Residence Hall   13  Z2,661,,Techwood Drive NW,33.77279729,-84.39162219,1
16020242,2/7/16,2:14:00,,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,OFFCAM,North Avenue  NW / Spring Street  NW,,,,,,1
16020285,2/13/16,16:45:00,2/13/16,16:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.77895641,-84.40131466,1
16020288,2/13/16,19:18:00,,,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCAM,Z1,Tenth Street  NW / Hemphill Avenue  NW,,,,,,1
16020292,2/15/16,1:08:00,2/15/16,2:00:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,NONCAM,Z4,Northside Drive  NW at  Travis Street  NW,,,,,,1
16020353,2/24/16,0:21:00,2/24/16,0:37:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,North Avenue  NW @ Tech Parkway  NW,,,,,,1
16020354,2/24/16,0:39:00,2/24/16,1:08:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,,Glenn Residence Hall,118,,Bobby Dodd Way NW,33.77342207,-84.3916112,1
16020373,2/26/16,15:27:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.77431732,-84.39572383,1
16030413,3/1/16,7:45:00,3/1/16,17:10:00,2399,Larceny Offense Free Text,Further Investigation,,ONCAM,Z2,Guggenheim Building,265,,North Avenue  NW,33.7715985,-84.39578234,1
16030431,3/4/16,22:05:00,3/4/16,22:50:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center   160   Z4,750,,Ferst Drive NW,33.77546401,-84.40349901,1
16030450,3/8/16,10:16:00,3/8/16,10:27:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Fowler Street @ Bobby Dodd Way,,,,33.77497462,-84.3935274,1
16010142,1/23/16,14:30:00,1/23/16,15:30:00,2308,Larceny - From Building,Closed/Cleared,Prosecution Declined,ONCAM,Z4,Aquatic Center,333,,Tech Parkway  NW,33.7756741,-84.40419044,1
16010149,1/25/16,18:47:00,1/25/16,19:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,,120,,North Avenue NW,,,1
